SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
63,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM215,Energetics and Kinetics I,ok,NO,YES,YES,YES,NO,NO,Required,4,Brijesh  Mishra,ALL chemistry Major/Minor/Concentration,None,Provide students with a comprehensive understanding of the fundamental principles and concepts governing the behavior of chemical systems concerning energy transformation.,YES: CHEM218,None
64,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM218,"Advanced Energetics, Kinetics and Materials",ok,NO,NO,YES,YES,NO,NO,Required,4,KS Viswanathan,ALL chemistry major,CHEM215,"This course builds on CHEM215 and offers more advanced topics in thermodynamics and kinetics. Topics include  chemical kinetics, enzyme catalysis, ionic and phase equilibria, solid state and surface chemistry",None,None
65,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM217,Chemistry Across Periodic Table,ok,NO,YES,YES,YES,NO,NO,Required,4,Surajit Kayal,ALL chemistry Major/Minor/Concentration,None,"This course will introduce the concept of inorganic chemistry. Students will learn the evolution of the periodic table into a systematic arrangement of elements. The focus will be on the understanding of chemical properties of various inorganic molecules. Following the discussion on periodic table students will learn the chemistry of s-block, p-block, d-block elements",YES: CHEM219,None
66,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM212,Inorganic Chemistry Lab,ok,NO,NO,YES,YES,NO,NO,Required,2,Randhir Rai,ALL chemistry Major/Minor/Concentration,None,"Demonstrate an understanding of safety protocols and best practices in a laboratory setting, including proper handling, and disposal of chemicals, as well as emergency procedures. Develop proficiency in fundamentals of qualitative analysis. Students will learn about various methods of detecting acid and basic radicals, techniques of group separation ",None,None
67,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM413,Organic Synthesis and Estimation,ok,NO,NO,NO,YES,NO,NO,Required,2,Randhir Rai,Chemistry Major,CHEM319,"Demonstrate an understanding of safety protocols and best practices in a laboratory setting, including proper handling, and disposal of chemicals, as well as emergency procedures. Develop proficiency in fundamentals of organic synthesis, various chromatographic techniques",None,None
68,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM412,Application of Group Theory,ok,NO,NO,YES,YES,NO,NO,Elective,4,KS Viswanathan (RV),Elective for chemistry major/minot,CHEM220,"This course will introduce students to the symmetry elements in molecules, concept of point group, character table, use of group theory in conceptualizing symmetry properties, application of group theory in understanding spectroscopy, chemical reactions and bonding phenomenon",None,None
69,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM421|COMP421,Molecular Modelling and Simulations - A Quantum Chemistry Approach,ok,NO,NO,NO,YES,NO,NO,Elective,4,Brijesh  Mishra,Elective for chemistry major/minot,None,This advanced course provides an in-depth exploration of molecular modelling and simulations with a strong emphasis on quantum chemistry techniques. Students will gain theoretical knowledge and practical skills in using computational methods to investigate the properties and behavior of molecules. The course covers the principles of quantum mechanics as they apply to molecular systems and introduces various computational tools used in modern quantum chemistry.,None,None
70,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM322|BIOS322,Magnetic Resonance Imaging,ok,NO,NO,NO,YES,NO,NO,Elective,4,N. Chandrakumar,Elective for chemistry major/minot,None,This course gives an introduction to the principles and applications of Magnetic Resonance Imaging of soft matter,None,None
71,Trimester 1/4/7/10 & PhD 4/7,SCI,CHEM,CHEM490,Advanced Chemical Research I (Capstone),Capstone,NO,NO,NO,YES,NO,NO,Elective,4,TBD,NONE,NONE,Capstone topics,,None
72,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP201,Mathematical Foundations of Computer Science I: Discrete Mathematics,ok,NO,YES,YES - Double Majors  and CS minors,YES- Cs Minors,NO,NO,Required,4,Mithilesh,"Required for CS Major, Math Major, Joint major in Math-CS",None,"Discrete Mathematics course will provide students with their first glimpse of how to think rigorously about discrete and finite phenomena. The course will begin by introducing students to the language and grammar of mathematics. It will then proceed to an axiomatic construction of the natural numbers, and introduce the fundamental mathematical notions of sets, relations, and functions. The remainder of the course will be organized around three distinct modules: number theory, permutations and counting, and graph theory.","COMP208, COMP330",No
73,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP204,Introduction to Programming Through Computation,ok,NO,YES,Yes – Double majors and CS minors,NO,NO,NO,Required,4,Prathamesh Turaga,Required for CS Major/M/C,None,"This course offers a foundational understanding of essential programming methods, with a focus on their practical applications. The objective is to facilitate fluency in programming and the ability to switch between various programming languages. The course introduces fundamental algorithms and data structures, and how they can be used to solve computational problems or extract information about given data.","COMP235, COMP350",No
74,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP305,Applied Probability and Statistics,New,NO,NO,YES,YES,NO,NO,Required,4,Mithilesh,Required for CS Major and Elective for minor & concentration,Multivariate Calculus or Calculus for Computing,"This course offers a foundational understanding of probability and statistics essential for study of randomized algorithms, modeling and data science.",COMP313,Please get course code from academic office. This course has been approved as a part of FYUP curriculum
75,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP350,Software Design Practical (Formerly know as Group Design Practical),ok,NO,NO,YES,YES,NO,NO,Required,4,Srikumar Subramanian,"Rrequired course, 3rd year CS majors",COMP204 and COMP215,"This is a project based course that works towards students having built a complete application of their choosing from ground up, with guidance from instructors. Students will be introduced to programming methodologies and tools and processes (iterative approaches) that will help them with the task. They will also be introduced to the required architectural components and how they interface with each other. The human side of building such applications includes requirements gathering, basic user study, ethics issues and broadly “responsible engineering”.",No,No
76,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP235,Operating Systems,ok,NO,NO,YES,YES,NO,NO,Elective,4,Inzemam,Elective for CS Majors,COMP204 and COMP215,"The course focuses on exploring different operating system design and its functional aspects. The
role of the operating system as a resource manager is detailed with respect to Process
management, Memory management, File management, and Device management. The course also
highlights the operating system and underlying machine communication. Additionally, the course
states the importance of various topics taught in the course in relation to the real-world systems.
Some topics are implemented in program form to have related practical insights.",No,No
77,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP330|MATH330,Logic,ok,NO,NO,YES,YES,NO,NO,Elective,4,Prathamesh,Elective for CS Majors,COMP201,"Formal logic has played a key role in development of modern computer science, with
applications ranging from architecture, databases, verification to AI and theory of computation.
This course will introduce students to proofs and techniques of soundness, completeness and
provability in the formal systems. Formal systems introduced in the course include (but are not
restricted to) propositional and predicate calculus. It will additionally include some of the
resolution theorems from proof theory, which are essential to understand automated theorem
provers",No,No
78,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP345,Principles of Machine Learning,ok,NO,NO,NO,YES,NO,NO,Elective,4,Ravi Prakash,Elective for CS Majors,COMP313,"This course will provide an introduction to the foundations of machine learning along with a slew of popular machine learning techniques, which will provide a broad overview of different machine learning tools",No,No
79,Trimester 1/4/7/10 & PhD 4/7,SCI,COMP,COMP334,Type Systems and Alternative Semantics,ok,NO,NO,NO,YES,NO,NO,Elective,2,Srikumar Subramanian,Elective for CS Majors,COMP308,follow up course to COMP308,No,No
80,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA202,Introduction to Data Science,ok,NO,YES,YES,YES,NO,NO,Required,4,Shyam Sudhakar,Major,Python for Data Science (Required) and Intro to data science (recommended),"This course introduces the students to the field of data science and the kind of problems that can be solved by data science. Students will learn key data science skills, techniques, and concepts, including data analysis, statistical modelling, and some insight into some standard AI/ML algorithms. The course would also bring the perspectives of data from multiple branches of social sciences and provide a fundamental understanding of how data is conceptualized through the prism of humanities and social sciences. Further, the course will cover how data science skills can be used to address some of the vital problems in the field of social sciences. This would be done by a series of guest lectures by faculty members from social sciences. This is a hands-on course where after a quick primer on Python, the student will start with sourcing, processing, and cleaning a dataset. Then, use Python to mine data from its source and analyse available data by using NumPy and Pandas. Subsequently, the student will be introduced to modelling data to perform predictions using the SciPy, scikit-learn, and stats models libraries. In addition, the student will be introduced to visualization methods using the matplotlib and seaborn library to visually understand the patterns in the data. By the end of this course, students will be able to work on data science tasks practically with different Python libraries and achieve their goals.",No,None
81,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA203(2),Mathematical Foundations of Data Science,ok,NO,YES,YES,YES,NO,NO,Required,4,Yogananda Sastry & Brijesh Jha,Major/Minor/Concentration,None,"This course will cover the following topics that are fundamental to the field of data science: Discrete Mathematics: logic, sets, functions, relations, mathematical induction, counting, recursion, trees, and graphs.Probability: axioms of probability; conditional probability and independence; random variables; continuous random variables and limit theorems.",Yes,"Applied Linear Algebra, Applied Statistics, Intro to Statistical Learning, Machine Learning"
82,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA206,Data Management,New,NO,NO,YES,YES,NO,NO,Required,4,Mullai Thiagu,Major,Data Structures and Algorithms and Python for Data Science,"This course focuses on database system concepts and architectures, various data models, Database Design using ER models, UML, Relational Algebra etc. Database as well as web-based programming using SQL, PHP etc., will be covered. It also introduces theoretical concepts on database design and normalization, data storage with the corresponding file structures based on indexing using B-Trees, B+-Trees etc. Further, transaction processing and concurrency control principles will be introduced. Some applications on Information Retrieval and Data Warehousing will be covered.",No,None
83,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA301,Responsible Artificial Intelligence (Data),New,NO,NO,YES,YES,NO,NO,Required,4,Shyam Sudhakar,Major,Python for Data Science (Required) and Intro to data science (recommended),"Recent advances in computing and information technologies, including hardware, software, databases, networks and communications have enabled the commercialization of many applications of Artificial Intelligence. Specifically, in the case of Supervised Learning, Deep Neural Networks and related algorithms have been able to achieve or even surpass human-like accuracy in applications like face recognition, voice recognition, automated driving, language translation, etc. This has given rise to multiple deployments of AI-based applications not only in the private sector but also in the Government. These deployments in areas such as recidivism prediction, algorithmic online ad targeting, drug addiction risk prediction, criminal intentionality detection in early stage shoplifting, etc. promise the effectiveness and efficiency of evidence-based decision-making. This early success has spurred rapid and frantic development of solutions using AI/ML and associated technologies without adequate safeguards and regulations. However, of late, multiple cases of bias and unfairness have been reported in the decisions made by AI/ML based algorithms, thus, raising ethical questions. In addition, AI/ML-based decisions cannot be explained easily due to their “black-box” nature. Impenetrability of AI/ML algorithmic decisions has reduced “trust” in the very algorithms that promised so much. This has spurred a call for Explainable AI (XAI) – AI-based decision-making that incorporates the notions of fairness, accountability and transparency.",No,None
84,Trimester 1/4/7/10 & PhD 4/7,SCI,DATA,DATA230|BUSI230,Business Applications of Artificial Intelligence,New,NO,NO,YES,YES,NO,NO,Elective,4,V N Rajesh,Elective course for DS,No (DATA201) is recommended,"Artificial intelligence (AI) is all around us. It‘s how Google answers our searches, Amazon recommends products, ChatGPT helps answer questions, and Spotify plays another song. Artificial Intelligence is changing the way decisions are being made in the world today. This course is intended to enable students to understand a critical aspect of AI, i.e., industry applications, scenarios, and use cases. The course covers this very critical aspect of AI, i.e., use cases of AI in a variety of industries such as Sales and Marketing, Retail Manufacturing, Healthcare, Education, to name a few.",No,None
85,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS206,Tools and Methods,ok,NO,YES,YES,YES,NO,NO,Required,4,Bharath Sundaram,ENVS Major/Minor,None,"This course will provide the basic vocabulary that students require to navigate the environmental sciences, humanities, and social sciences. Through systematic close readings of influential texts, we hope to enable students to use the tools and methods employed by these disciplines in the context of the environmental studies. We begin the course by charting out primary motivators and drivers of work in each discipline. We will then home in on cutting-edge research within each discipline. For example, in the environmental sciences, we will focus on the concept of thresholds and safe operating spaces for humanity. During our engagement with the environmental humanities, we will focus on how progress in the digital humanities has enabled visualisation and textual analysis of environmental history, philosophy, ethics, literary theory, art, and education. Lastly, in the environmental social sciences, we will pinpoint how ethnography and narratives are now becoming invaluable tools for understanding how society interacts with the environment.",,
86,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS221|LITT242,Environmental Communication,ok,NO,YES,YES,YES,NO,NO,Required/Elective,4,Jaideep Hardikar,ENVS Major/Minor,None,"Environmental studies encompass not only the science of climate change or environmental harm but also communicating these for various kinds of publics. This course moves away from objective and expert accounts of environmental risk and policy to focus on popular and public-facing forms of environmental communication. 
 
Students will read and analyse genres of Environmental Communication like science and nature writing and the photo essay. This course is writing-intensive and the focus will be producing various kinds of
short written and visual pieces and forms of public outreach around case studies drawn from neighbouring ecosystems. As far as possible we will arrange student interaction with some practitioners of these forms.",,
87,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS235,Introduction to Environmental Science,ok,NO,YES,YES,YES,NO,NO,Required,4,Lakshmi Narayanan,ENVS Major/Minor,None,"Environmental science is the study of patterns and processes in the natural world and their modification by human activity. To understand current environmental problems, we need to consider physical, chemical and biological processes that are often the basis of those problems. This course will give you the skills necessary to address the environmental issues we are facing today by examining scientific principles and the application of those principles to natural systems. This course will survey some of the many environmental science topics at an introductory level, ultimately considering the sustainability of human activities on the planet.",,
88,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS336,Environment versus Development: the policy dilemma,ok,NO,YES,YES,YES,NO,NO,Elective,4,Jaideep Hardikar,Elective for ENVS Major/Minor,None,"The growth versus environment debate has been one of India’s nay the global community’s major policy dilemmas for over a century now, exacerbated in the era of global warming and climate change. Further deepening the dilemma are the processes set off by globalization, privatization and liberalization combined with the role of technology in people’s lives.
Yet, this debate has also spurred a new line of thinking and public policies in recent times.
Growth is an imperative for material needs or poverty alleviation. But ecology, too, needs to be healthy, in the absence of which there’s a heavy price to be paid by the humanity, as witnessed in the unprecedented disasters: landslides, recurring floods and droughts, water scarcity or the devastation caused by extreme weather events and the society’s unpreparedness in such cases.
It’s a quintessential “wicked problem” – to borrow from the term coined first in a 1973 paper by Horst W J Rittel and Melvin M Webber, professors of design and urban planning at the University of California at Berkeley (Dilemmas in a general theory of planning) – that does not allow for the best solution but rather only the acceptable compromises.
Questions abound: Is there such thing called sustainable economic growth, as advocated by the different stakeholders? What’s the history and philosophy of environmentalism and the many different tensions centred around these two ideas? How does public policy factor in both?
This course, drawing from field work and theoretical foundations, would offer students of social and environmental sciences with a keen interest in public policy a thorough review of this classical dilemma and the choices a society has and makes. 
From the earliest debates over the construction of large dams, to industrial development, to the ideas of green economy or degrowth, and the history of India’s environmental legislation, the week-by-week sessions would build on the different thematic aspects of this debate and pose before students the confounding questions integral to understanding a public policy dilemma.
For instance, the social and economic fallout of the land acquisition for development projects by the State using the whip of Eminent Domain: What happens to the people who are displaced by development projects? This itself posits several questions for consideration: Is development possible without any environmental, ecological or social harm? Or is there a need for a paradigm shift to strike a balance between the two processes, as the world runs out of time to deal with and eventually fix the global poly-crisis, a term coined by historian Adam Toonze.
With class-rooms discussions intermittent with lectures, presentations and anecdotal stories from the field, this course will dwell upon the theoretical foundations as well as the real-life situations to explore tensions between the cause of environmental conservation and preservation and an inevitability of development for economic growth. ",,
89,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS310,Agrarian crisis and Indian society,ok,NO,YES,YES,YES,NO,NO,Elective,4,Jaideep Hardikar,Elective for ENVS Major/Minor,None,"Between 1997 and 2020, close to 400,000 farmers have committed suicide in India; nearly 2000 farmers are quitting agriculture every day since 1991, going by the census data 1991-2011, and hundreds of thousands of peasants moving to cities in search of elusive work and livelihoods.
This course will examine the prevailing agrarian crisis in India, its social, economic, cultural and political impacts on the society, particularly the rural. Government responses and media’s role.
Agrarian crisis, typified by a continuing trend of farmers’ suicides, migrations, displacement, high indebtedness, falling incomes, and a general sense of despondency in the countryside, is akin to a Civilizational Crisis (P Sainath, 2019). 
Government and non-government studies have reflected upon the economic, ecological, social, political and other dimensions of this ongoing crisis. 
Engaging students in a seminar-pattern on empirical roots of agrarian problem in India, course will dwell on the continuing crisis of income and sustainability in farming; environmental and ecological dimensions in climate change era; fragmentation of land; problems of equity and access; gender issues; labour; mechanisation; livestock and food systems; credit and finance; post-liberalisation trends in the sector; the fallout of crisis in different states, particularly in the dry land regions; different aspects and faces of this crisis; the responses of the state and central governments and civil society organisations to the problem; the political economy of agriculture; and some models of collectives that are successfully demonstrating a way out.
The course will introduce the aspects of crisis and its fallouts in a way that would help students understand the problems and challenges, and opportunities it throws up in its wake.
",,
90,Trimester 1/4/7/10 & PhD 4/7,SCI,ENVS,ENVS337,Natural Hazards and Mitigation,ok,NO,YES,YES,YES,NO,NO,Elective,4,Lakshmi Narayanan,Elective for ENVS Major/Minor,None,"Natural disasters are among the greatest threats for human lives and quality of life. This course introduces students to almost all the natural hazards that can cause disasters, from well-known frequently occurring ones to extremely rare ones. The course discusses the causes and consequences of natural hazards, efforts undertaken to predict them in advance and the complications of such efforts, in a fundamental level. The causes of natural disasters are understood based on the underlying scientific investigations. To predict them, routine measurement networks and scientific modelling are required. Finally, mitigating their effect depends on the support and efforts provided by the policy makers.",,
